Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd,std,psd,nsd
2020-07-13,15.26,16.440001000000002,13.61,13.84,13.84,313460300,8.809,5.612286165191509,3.1967138348084907,14.421286165191507,2.8061430825957543,11.615143082595754,6.0028569174042445
2020-07-14,13.25,14.13,12.42,14.09,14.09,196123200,9.196,5.873085730687063,3.3229142693129363,15.069085730687064,2.9365428653435317,12.132542865343531,6.2594571346564685
2020-07-15,13.82,13.95,12.85,13.52,13.52,114603700,9.559,6.134877015882226,3.4241229841177736,15.693877015882226,3.067438507941113,12.626438507941112,6.491561492058887
2020-07-16,12.46,13.16,12.45,12.94,12.94,134606300,9.885499999999999,6.2472601194443635,3.638239880555635,16.132760119444363,3.1236300597221818,13.00913005972218,6.761869940277817
2020-07-17,11.86,12.07,10.46,11.09,11.09,289518000,10.1905,6.218290681529772,3.9722093184702283,16.408790681529773,3.109145340764886,13.299645340764886,7.081354659235114
2020-07-20,11.42,12.84,11.38,12.82,12.82,155428100,10.386,6.071528308424494,4.3144716915755055,16.457528308424493,3.035764154212247,13.421764154212246,7.350235845787752
2020-07-21,13.45,13.58,12.62,12.88,12.88,128036000,10.66,5.9910266232090805,4.66897337679092,16.65102662320908,2.9955133116045403,13.65551331160454,7.66448668839546
2020-07-22,12.38,12.83,11.81,12.38,12.38,112260500,10.9325,5.873199724170803,5.059300275829196,16.8056997241708,2.9365998620854015,13.8690998620854,7.995900137914598
2020-07-23,12.59,12.63,11.85,12.15,12.15,95206300,11.19,5.648592745100323,5.541407254899677,16.83859274510032,2.8242963725501613,14.014296372550161,8.365703627449838
2020-07-24,11.38,11.9,10.91,11.82,11.82,93425300,11.4545,5.297291666502798,6.157208333497201,16.751791666502797,2.648645833251399,14.103145833251398,8.8058541667486
2020-07-27,12.03,12.09,11.27,11.69,11.69,64068500,11.6915,4.902661624056876,6.788838375943124,16.594161624056873,2.451330812028438,14.142830812028437,9.240169187971562
2020-07-28,11.48,12.64,11.38,12.27,12.27,90075800,11.931,4.383486740027852,7.547513259972147,16.314486740027853,2.191743370013926,14.122743370013925,9.739256629986073
2020-07-29,12.65,13.0,12.43,12.7,12.7,69552600,12.183,3.8162866768627333,8.366713323137267,15.999286676862733,1.9081433384313666,14.091143338431367,10.274856661568633
2020-07-30,12.62,12.95,12.07,12.2,12.2,64952900,12.431999999999999,3.2227044543364505,9.209295545663547,15.65470445433645,1.6113522271682252,14.043352227168224,10.820647772831773
2020-07-31,12.41,12.59,11.73,11.94,11.94,61620400,12.6465,2.4744395325002384,10.172060467499762,15.120939532500238,1.2372197662501192,13.883719766250119,11.40928023374988
2020-08-03,12.53,13.67,12.46,13.6,13.6,122925300,12.774499999999998,2.0057764082768545,10.768723591723143,14.780276408276853,1.0028882041384273,13.777388204138425,11.77161179586157
2020-08-04,14.46,14.53,13.22,13.64,13.64,125731400,12.879,1.9483213287340464,10.930678671265953,14.827321328734046,0.9741606643670232,13.853160664367023,11.904839335632976
2020-08-05,13.41,14.08,13.37,13.92,13.92,60046000,12.9,1.9714867486239922,10.928513251376009,14.871486748623992,0.9857433743119961,13.885743374311996,11.914256625688004
2020-08-06,14.1,14.31,13.52,13.84,13.84,49787700,12.951999999999998,2.0208770373281006,10.931122962671898,14.972877037328098,1.0104385186640503,13.96243851866405,11.941561481335947
2020-08-07,13.54,13.73,13.2,13.42,13.42,57746000,12.915499999999998,1.9268469062175129,10.988653093782485,14.84234690621751,0.9634234531087564,13.878923453108754,11.952076546891242
2020-08-10,13.94,14.42,13.68,14.21,14.21,84267300,12.8375,1.6990806337546198,11.13841936624538,14.536580633754621,0.8495403168773099,13.68704031687731,11.987959683122691
2020-08-11,15.3,15.45,12.94,12.99,12.99,181311500,12.855999999999998,1.749644535327105,11.106355464672893,14.605644535327103,0.8748222676635525,13.73082226766355,11.981177732336446
2020-08-12,13.37,13.45,12.67,13.36,13.36,77260200,12.800999999999998,1.6577683794788705,11.143231620521128,14.458768379478869,0.8288841897394352,13.629884189739434,11.972115810260563
2020-08-13,13.45,13.64,13.17,13.36,13.36,50093500,12.793000000000001,1.6453096972910604,11.147690302708941,14.43830969729106,0.8226548486455302,13.615654848645532,11.97034515135447
2020-08-14,13.18,13.18,12.54,13.1,13.1,63250700,12.814000000000002,1.6629058903016734,11.15109410969833,14.476905890301675,0.8314529451508367,13.645452945150838,11.982547054849165
2020-08-17,13.07,14.05,13.06,14.05,14.05,78340500,12.914500000000004,1.4651890662982716,11.449310933701732,14.379689066298276,0.7325945331491358,13.64709453314914,12.181905466850868
2020-08-18,14.23,14.69,13.87,14.3,14.3,69962400,12.975999999999999,1.545230079955733,11.430769920044266,14.521230079955732,0.7726150399778665,13.748615039977865,12.203384960022133
2020-08-19,14.29,14.41,13.85,14.06,14.06,41966800,13.047,1.6481274222583646,11.398872577741637,14.695127422258365,0.8240637111291823,13.871063711129183,12.222936288870818
2020-08-20,13.85,14.05,13.53,13.78,13.78,50072800,13.131,1.6746211511861426,11.456378848813857,14.805621151186143,0.8373105755930713,13.96831057559307,12.29368942440693
2020-08-21,13.64,14.58,13.62,14.12,14.12,70189900,13.212500000000002,1.6338772903740362,11.578622709625966,14.846377290374038,0.8169386451870181,14.029438645187021,12.395561354812983
2020-08-24,14.63,14.98,14.31,14.97,14.97,98697700,13.327500000000004,1.5471118253054632,11.78038817469454,14.874611825305468,0.7735559126527316,14.101055912652736,12.553944087347272
2020-08-25,15.08,17.870001000000006,15.06,17.84,17.84,299047800,13.491500000000006,1.5130270982371739,11.978472901762832,15.00452709823718,0.7565135491185869,14.248013549118593,12.734986450881419
2020-08-26,19.01,20.969998999999998,18.559998999999998,20.440001000000002,20.440001000000002,364104600,13.770000000000001,2.337194899874634,11.432805100125368,16.107194899874635,1.168597449937317,14.938597449937319,12.601402550062684
2020-08-27,19.99,20.469998999999998,18.76,19.879998999999998,19.879998999999998,199850300,14.157000050000002,3.6786147546597205,10.478385295340281,17.835614804659723,1.8393073773298603,15.996307427329862,12.317692672670143
2020-08-28,18.870001000000002,19.440001000000002,18.110001,18.5,18.5,154799800,14.541,4.3274653348121,10.2135346651879,18.8684653348121,2.16373266740605,16.70473266740605,12.37726733259395
2020-08-31,17.190001000000002,19.83,16.82,19.030001000000002,19.030001000000002,226610900,14.869000000000003,4.4808834200412315,10.388116579958773,19.349883420041234,2.2404417100206158,17.10944171002062,12.628558289979388
2020-09-01,19.450001,20.379998999999998,18.75,20.120001000000002,20.120001000000002,137226000,15.14050005,4.7879202979791335,10.352579752020866,19.928420347979134,2.3939601489895668,17.534460198989567,12.746539901010433
2020-09-02,20.92,21.049999,18.5,19.9,19.9,153460600,15.4645001,5.197409211559233,10.267090888440768,20.661909311559235,2.5987046057796164,18.06320470577962,12.865795494220384
2020-09-03,19.09,19.84,18.35,18.700001,18.700001,128358400,15.763500099999998,5.487539910852655,10.275960189147344,21.251040010852652,2.7437699554263273,18.507270055426325,13.019730144573671
2020-09-04,18.540001,19.18,15.61,17.98,17.98,163329800,16.00650015,5.555315936668311,10.45118421333169,21.561816086668312,2.7776579683341556,18.784158118334155,13.228842181665845
2020-09-08,17.17,17.860001,16.51,17.030001000000002,17.030001000000002,89624600,16.23450015,5.485849331015291,10.748650818984707,21.72034948101529,2.7429246655076454,18.977424815507643,13.491575484492353
2020-09-09,17.9,18.629998999999998,17.700001,18.09,18.09,90988400,16.3755002,5.414966571937544,10.960533628062457,21.790466771937545,2.707483285968772,19.082983485968775,13.668016914031229
2020-09-10,18.49,18.719998999999998,17.49,17.74,17.74,79679800,16.6305002,5.230424702373704,11.400075497626297,21.860924902373704,2.615212351186852,19.245712551186852,14.015287848813148
2020-09-11,18.0,18.1,17.450001,17.969998999999994,17.969998999999994,55373500,16.8495002,5.0271723878141525,11.822327812185849,21.876672587814156,2.5135861939070763,19.36308639390708,14.335914006092924
2020-09-14,18.18,18.780001000000002,17.9,18.73,18.73,68234900,17.08000015,4.782857147354634,12.297143002645367,21.862857297354633,2.391428573677317,19.471428723677317,14.688571576322683
2020-09-15,19.1,20.25,18.879998999999998,19.190001000000002,19.190001000000002,111630500,17.36150015,4.464882210562929,12.896617939437071,21.82638236056293,2.2324411052814646,19.593941255281464,15.129059044718536
2020-09-16,19.27,19.540001,18.52,19.01,19.01,57671000,17.6185002,4.259865429142269,13.35863477085773,21.87836562914227,2.1299327145711344,19.748432914571133,15.488567485428865
2020-09-17,18.26,19.33,18.08,19.299999,19.299999,55186600,17.854000199999998,4.013648975384052,13.840351224615947,21.86764917538405,2.006824487692026,19.860824687692023,15.847175712307973
2020-09-18,19.719998999999998,19.879998999999998,18.940001000000002,19.41,19.41,54885500,18.116000149999998,3.657061279880571,14.458938870119427,21.77306142988057,1.8285306399402854,19.944530789940284,16.28746951005971
2020-09-21,19.049999,19.27,17.66,18.809998999999998,18.809998999999998,75969500,18.397500150000003,3.103519915676668,15.293980234323335,21.50102006567667,1.551759957838334,19.949260107838338,16.845740192161667
